region,method,view,cell_count,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman
OVERALL_mean,Harmonic,annulus,107,0.5912707850030688,0.831818824697677,0.6911891090150944,184.875,260.25,153.0,31.875,107.25,0.5943078742639271,0.6320066271334009,19.914665821896172,1.500429139853017,0.8954139261416827
OVERALL_median,Harmonic,annulus,107,0.6127529093630788,0.859643102264928,0.7158367137508319,184.5,259.0,149.0,29.0,113.5,0.6143897507779399,0.6484673214022403,18.89926694844283,1.391986587236083,0.9146147773908531
OVERALL_std,Harmonic,annulus,107,0.05586303646033406,0.07467618472290047,0.06380107961699395,51.67601681907879,72.66704892865816,43.827584269009655,16.957404619474392,34.29181493342939,0.06457082418212573,0.06195922224742052,3.8593885385321487,0.3462734893957415,0.06024183822868793
OVERALL_mean,Area-balanced,disk,107,0.6048663577515367,0.9343543390851947,0.7342870985330512,184.875,285.75,171.75,13.125,114.0,0.6071199463229331,0.6151555354022791,17.071375568111627,3.0291643276904243,0.9870416719808566
OVERALL_median,Area-balanced,disk,107,0.6115603146853147,0.9460227272727273,0.7425064707355766,184.5,288.0,170.5,10.5,117.5,0.6185132088937348,0.6254785021792324,17.117885802311555,2.9831490217871073,0.9928895359635669
OVERALL_std,Area-balanced,disk,107,0.03390100941216491,0.039917692591823026,0.0370073672677734,51.67601681907879,79.22797125113976,45.53099415311979,9.463274878633264,35.76510669832899,0.03794301418870795,0.03931448824645832,2.5587208121306975,1.1687472384217403,0.011404294696205214
OVERALL_mean,Area-balanced,annulus,107,0.5514176550610095,0.7951300262624219,0.651055144239,184.875,268.25,146.5,38.375,121.75,0.5784615577997798,0.6309554969468752,20.818577853473883,1.6988719871230182,0.9780923525349463
OVERALL_median,Area-balanced,annulus,107,0.5566737288135593,0.8074596774193548,0.6571864827678782,184.5,272.0,143.5,37.0,128.5,0.5848618132673861,0.6378024948105594,20.867793684720397,1.6418005032141165,0.9840433112730685
OVERALL_std,Area-balanced,annulus,107,0.04611543685388679,0.0452361720496838,0.04681434202863718,51.67601681907879,78.04714692323572,40.893590136911605,14.706048318391217,40.418348025901025,0.053450521146541426,0.06341720398089323,1.433030270657099,0.4898441264247341,0.016831732140396433
OVERALL_mean,Regular Topology,disk,107,0.4285338933222015,0.7905401641054097,0.5554847684198625,184.875,346.0,145.25,39.625,200.75,0.44185039636193435,0.44843224172104373,32.526207483184976,3.975757166419078,0.9618380609503191
OVERALL_median,Regular Topology,disk,107,0.41454152187788096,0.7949674746034574,0.5425363029369192,184.5,349.0,142.5,40.5,206.5,0.4376182993077733,0.4473399244506454,33.24797263247443,3.872652863931669,0.9608845980477732
OVERALL_std,Regular Topology,disk,107,0.04183019987533529,0.04248151198356058,0.0447572055826174,51.67601681907879,108.69354035215576,39.074105418879576,15.221577729375776,71.26359519418031,0.03122611957070063,0.034455369022700265,2.8494229204028985,1.2100085744042937,0.003606730620434451
OVERALL_mean,Regular Topology,annulus,107,0.48665959193702274,0.7247371983913189,0.5822511858225494,184.875,274.5,132.375,52.5,142.125,0.4712731522824346,0.492383810424308,31.764852925589974,3.9757571664190787,0.9571328118809042
OVERALL_median,Regular Topology,annulus,107,0.48001274088230605,0.7179869898413831,0.5753135681697916,184.5,274.5,129.0,55.5,145.5,0.46428636437022025,0.4915952197275968,31.47346202641031,3.87265286393167,0.9581446955753741
OVERALL_std,Regular Topology,annulus,107,0.03584075179435068,0.054553475300008994,0.04287992197292726,51.67601681907879,73.43607521414215,33.29065720503062,20.591260281974,42.04907846790462,0.03434614533263235,0.03346578931825849,2.037796999988422,1.2100085744042939,0.007003001843296954
OVERALL_mean,GeoDisk,disk,107,0.5361792810837702,0.8371466981346759,0.6536047255284027,184.875,289.125,152.875,32.0,136.25,0.54296776042189,0.557643646131009,25.64027436694704,2.820585631050102,0.9761598600803665
OVERALL_median,GeoDisk,disk,107,0.5374362749864563,0.8242686170212765,0.6510651435628281,184.5,290.5,151.0,33.5,139.5,0.5443043398840038,0.5630973502533222,26.649485188891596,2.57770150771284,0.9795005715074205
OVERALL_std,GeoDisk,disk,107,0.04634693848002811,0.06020931915988905,0.052469706122738026,51.67601681907879,80.75967434307793,37.997885279503194,16.664761795905928,45.260357930533424,0.05621121105675742,0.05337067182818526,4.0999969140609345,0.8659818584893124,0.008210940134936033
