region,method,view,cell_count,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
OVERALL_std,Harmonic,disk,107,0.6181325021078394,3.4625879903295844e-16,3.777993230031033e-16,0.0
OVERALL_mean,Harmonic,annulus,107,0.8354913727674076,1.3775944915859763e-16,8.495166031446854e-16,0.0
OVERALL_median,Harmonic,annulus,107,0.6474962419171448,0.0,8.265566949515858e-16,0.0
OVERALL_std,Harmonic,annulus,107,0.5762602018806636,3.8964256269027127e-16,7.343069493578502e-16,0.0
OVERALL_mean,Area-balanced,disk,107,0.5051499938844577,4.947584696714645e-16,8.128174858888346e-16,0.0
OVERALL_median,Area-balanced,disk,107,0.37306804652540426,2.8271912552655114e-16,7.774775951980157e-16,0.0
OVERALL_std,Area-balanced,disk,107,0.3772254809629905,6.455837661433884e-16,4.580573357545502e-16,0.0
OVERALL_mean,Area-balanced,annulus,107,0.6463440679203787,4.362382556688925e-16,5.969576130205898e-16,0.0
OVERALL_median,Area-balanced,annulus,107,0.46986774255116026,3.673585310895937e-16,5.510377966343906e-16,0.0
OVERALL_std,Area-balanced,annulus,107,0.47951529003525,3.91955001761417e-16,6.49404271150452e-16,0.0
OVERALL_mean,Regular Topology,disk,107,0.6981577025976538,0.0006723841528767898,0.0011746669825250956,0.0
OVERALL_median,Regular Topology,disk,107,0.6059147854850404,0.0006130281041463524,0.000998096694273806,0.0
OVERALL_std,Regular Topology,disk,107,0.24292274785782195,0.00048005736780187645,0.0008271507974540697,0.0
OVERALL_mean,Regular Topology,annulus,107,0.8303325507905287,0.0011409960828308334,0.0017382370633574561,0.0
OVERALL_median,Regular Topology,annulus,107,0.731108051303488,0.0010734285117009166,0.0015448061598557043,0.0
OVERALL_std,Regular Topology,annulus,107,0.23446233922966406,0.0007682353070850416,0.0011813807826648902,0.0
OVERALL_mean,GeoDisk,disk,107,0.6687147728614888,3.5339890690818894e-16,3.1063763917229804e-14,0.0
OVERALL_median,GeoDisk,disk,107,0.5293070837731937,2.8271912552655114e-16,3.2300660091408475e-14,0.0
OVERALL_std,GeoDisk,disk,107,0.5247911694208651,3.205733558678174e-16,9.28241481094311e-15,0.0
OVERALL_mean,GeoAnnulus,annulus,107,0.7211912038750432,7.117571539860878e-16,4.6613413033441434e-08,0.0
OVERALL_median,GeoAnnulus,annulus,107,0.5238128768690078,6.42877429406789e-16,4.173989989350616e-08,0.0
OVERALL_std,GeoAnnulus,annulus,107,0.6294055975204336,7.243945899215624e-16,1.2272124016759808e-08,0.0
