pl_name,ra,dec,pl_rade,disc_year,discoverymethod
"K2-37 c",243.4509662,-24.7870527,2.41000000,2016,"Transit"
"2MASS J19383260+4603591 b",294.6359173,46.0664076,13.40000000,2015,"Eclipse Timing Variations"
"TOI-1260 b",157.1440712,65.8541986,2.41000000,2021,"Transit"
"HIP 39330 b",120.6116831,-46.3353155,13.50000000,2026,"Radial Velocity"
"Kepler-52 c",286.7380152,49.9757383,1.84000000,2012,"Transit"
"Kepler-1637 b",282.2368006,48.1542016,0.89000000,2016,"Transit"
"Kepler-1990 b",299.7047433,44.4357068,3.27000000,2023,"Transit"
"TOI-1749 c",282.7372281,64.4194660,2.12000000,2021,"Transit"
"GJ 9714 b",315.4141767,-32.5250028,12.50000000,2022,"Radial Velocity"
"Kepler-312 b",298.3957687,42.4597712,1.29000000,2014,"Transit"
"Kepler-1671 b",291.7484295,39.4467817,1.32557381,2020,"Transit"
"Kepler-466 b",295.6486585,48.4955191,2.85000000,2016,"Transit"
"UZ For c",53.8694682,-25.7393857,,2011,"Eclipse Timing Variations"
"HD 63765 b",116.9582617,-54.2653450,14.20000000,2011,"Radial Velocity"
"TOI-7008 b",216.9882531,79.4503960,4.94735276,2026,"Transit"
"Kepler-1038 c",298.9721472,44.1323499,1.41623380,2021,"Transit"
"TOI-3877 b",170.4544727,33.9913822,11.67975789,2025,"Transit"
"Kepler-1699 b",292.1373281,48.9171579,1.56671124,2020,"Transit"
"HD 143105 b",238.4023547,68.7199779,13.70000000,2016,"Radial Velocity"
"HD 191939 e",302.0256247,66.8503014,13.00000000,2022,"Radial Velocity"
"Kepler-1569 b",292.2046748,37.2212065,1.68000000,2016,"Transit"
"Kepler-859 b",286.7418337,43.1901197,3.09000000,2016,"Transit"
"HD 83443 b",144.2994103,-43.2727210,14.10000000,2002,"Radial Velocity"
"Kepler-106 b",300.8640060,44.3375497,0.82000000,2014,"Transit"
"Kepler-834 b",287.0544674,45.1803351,2.02000000,2016,"Transit"
"K2-249 b",183.3667344,-8.9952309,2.79000000,2018,"Transit"
"Kepler-454 c",287.4786474,38.2290751,12.90000000,2015,"Radial Velocity"
"HD 33283 b",77.0044889,-26.7976689,12.50000000,2006,"Radial Velocity"
"Kepler-169 e",285.9999204,40.9193822,2.20000000,2014,"Transit"
"GJ 536 b",210.2597264,-2.6522901,2.41000000,2016,"Radial Velocity"
"Kepler-37 e",284.0592503,44.5183733,0.37000000,2014,"Transit Timing Variations"
"TOI-2236 b",20.1660113,-86.9799650,14.36991326,2022,"Transit"
"HD 159868 c",264.7466665,-43.1462347,14.00000000,2012,"Radial Velocity"
"Kepler-1665 b",290.3962400,41.0399229,2.83910787,2020,"Transit"
"HIP 111909 b",340.0304354,-49.5985391,13.70000000,2025,"Radial Velocity"
"Kepler-1125 b",295.4812018,40.7319316,1.84000000,2016,"Transit"
"Kepler-384 b",286.0261113,44.7828571,1.12000000,2014,"Transit"
"HD 37605 b",85.0074276,6.0595116,13.20000000,2004,"Radial Velocity"
"Kepler-1618 b",295.1753619,45.9308594,1.26000000,2016,"Transit"
"Kepler-352 d",299.8966237,46.0519022,0.80628032,2021,"Transit"
"K2-148 c",14.5176494,-0.1932580,1.73000000,2018,"Transit"
"NGTS-9 b",141.9206435,-19.3476477,11.99363000,2019,"Transit"
"Kepler-584 b",288.2306150,42.4136181,4.21000000,2016,"Transit"
"Kepler-92 b",289.0860607,41.5630224,3.51000000,2013,"Transit"
"TOI-277 b",19.0766985,-20.9532772,2.65000000,2022,"Transit"
"EPIC 212297394 b",207.2061241,-17.6098985,1.48000000,2019,"Transit"
"TIC 67686059 b",19.8843370,-35.2930148,2.59125922,2026,"Transit"
"K2-270 b",131.2665588,13.5497322,1.38000000,2018,"Transit"
"TIC 160113658 b",59.4555606,-41.6320332,3.49015778,2026,"Transit"
"Kepler-533 b",293.6856893,48.8249915,3.38000000,2016,"Transit"
"VHS J125601.92-125723.9 b",194.0089640,-12.9560310,13.67495645,2015,"Imaging"
"HD 23079 c",54.9281897,-52.9162344,2.80000000,2025,"Radial Velocity"
"Kepler-55 e",285.1683291,44.0264898,1.55000000,2014,"Transit"
"GJ 887 b",346.5027573,-35.8473489,1.80000000,2020,"Radial Velocity"
"Kepler-1467 b",295.0485389,45.3426781,3.30000000,2016,"Transit"
"Kepler-199 c",295.5594278,40.2362490,3.25000000,2014,"Transit"
"HD 222076 b",354.5319820,-70.9032461,13.50000000,2016,"Radial Velocity"
"Kepler-282 b",284.6772402,44.7976401,1.01000000,2014,"Transit"
"K2-388 b",352.7139342,-11.0773564,3.90000000,2022,"Transit"
"TOI-1224 b",37.1978356,-80.8991053,2.10400000,2024,"Transit"
"Kepler-623 b",296.9867284,47.4773531,3.01000000,2016,"Transit"
"WASP-176 b",313.6872928,9.1790688,16.86954500,2020,"Transit"
"Kepler-363 d",283.1920779,41.3054172,2.05000000,2014,"Transit"
"HD 4917 b",12.7762624,-12.9276648,13.50000000,2018,"Radial Velocity"
"KOBE-1 c",19.1660378,25.3310358,3.56000000,2025,"Radial Velocity"
"Kepler-970 b",289.6252192,40.7087351,2.60900000,2016,"Transit"
"HAT-P-70 b",74.5523332,9.9979794,20.96083000,2019,"Transit"
"Kepler-943 b",284.2739322,41.5349809,5.93000000,2016,"Transit"
"Kepler-10 b",285.6792980,50.2414842,1.47000000,2011,"Transit"
"Kepler-271 d",283.0029316,44.2841080,0.66000000,2016,"Transit"
"TOI-1233.01",186.5740627,-51.3630519,2.53900000,2021,"Transit"
"HD 221585 b",353.2293802,63.1556146,13.50000000,2016,"Radial Velocity"
"TIC 18942729 b",119.2150697,16.6772341,2.00021315,2026,"Transit"
"HD 22496 b",53.7565398,-48.4178173,2.22000000,2021,"Radial Velocity"
"Kepler-1640 b",294.5577857,40.8504949,4.82000000,2016,"Transit"
"Kepler-589 c",280.6414331,47.7520581,1.11727238,2021,"Transit"
"Kepler-647 b",284.7882977,44.5916225,1.17000000,2016,"Transit"
"Gaia-1 b",90.6436658,-0.5771099,13.77583728,2022,"Transit"
"Kepler-1527 b",297.4144457,46.0608077,4.77000000,2016,"Transit"
"Kepler-1980 b",295.1672065,38.6370390,2.21000000,2023,"Transit"
