cell_id,region_id,block_row,block_col,longitude,latitude,scalar_value,month_01_air_temp_c,month_02_air_temp_c,month_03_air_temp_c,month_04_air_temp_c,month_05_air_temp_c,month_06_air_temp_c,month_07_air_temp_c,month_08_air_temp_c,month_09_air_temp_c,month_10_air_temp_c,month_11_air_temp_c,month_12_air_temp_c,theta,rho,is_boundary,original_area_degree2,polygon_wkt
NCEP2000_r006_c017,NCEP-AirTemp-Africa-2000,6,17,22.5,-25.0,20.673795382181805,22.792583465576172,24.536205291748047,23.388708114624023,19.707670211791992,16.19194221496582,14.744006156921387,12.5383882522583,17.434846878051758,19.920673370361328,25.79354476928711,24.416332244873047,26.620643615722656,-1.7504823084852652,0.7586206896551725,False,6.25,"POLYGON ((21.25 -26.25, 23.75 -26.25, 23.75 -23.75, 21.25 -23.75, 21.25 -26.25))"
NCEP2000_r006_c018,NCEP-AirTemp-Africa-2000,6,18,25.0,-25.0,19.275956471761067,21.272262573242188,22.471040725708008,21.24323081970215,18.367673873901367,15.1016206741333,13.807004928588867,12.25936222076416,16.78226661682129,19.442668914794922,23.900318145751953,22.93499755859375,23.72903060913086,-1.6613703972394744,0.7586206896551724,False,6.25,"POLYGON ((23.75 -26.25, 26.25 -26.25, 26.25 -23.75, 23.75 -23.75, 23.75 -26.25))"
NCEP2000_r006_c019,NCEP-AirTemp-Africa-2000,6,19,27.5,-25.0,17.436272382736206,19.24420166015625,19.906211853027344,19.07741928100586,16.585674285888672,14.06387710571289,13.14200496673584,11.661946296691895,15.147103309631348,18.04867172241211,21.184192657470703,20.192670822143555,20.981294631958008,-1.5707963267948966,0.7586206896551724,False,6.25,"POLYGON ((26.25 -26.25, 28.75 -26.25, 28.75 -23.75, 26.25 -23.75, 26.25 -26.25))"
NCEP2000_r006_c020,NCEP-AirTemp-Africa-2000,6,20,30.0,-25.0,17.860822280248005,19.872581481933594,20.02655601501465,19.515804290771484,16.81034278869629,14.693881034851074,14.395675659179688,12.918069839477539,15.57516860961914,18.671672821044922,20.52419662475586,19.763334274291992,21.562583923339844,-1.4802222563503187,0.8148148148148148,False,6.25,"POLYGON ((28.75 -26.25, 31.25 -26.25, 31.25 -23.75, 28.75 -23.75, 28.75 -26.25))"
NCEP2000_r006_c021,NCEP-AirTemp-Africa-2000,6,21,32.5,-25.0,21.413474718729656,23.534841537475586,23.774137496948242,23.3574161529541,21.071666717529297,19.02419662475586,18.854007720947266,17.821943283081055,19.044845581054688,21.263668060302734,21.965164184570312,22.634000778198242,24.615808486938477,-1.3911103451045281,0.8800000000000001,True,6.25,"POLYGON ((31.25 -26.25, 33.75 -26.25, 33.75 -23.75, 31.25 -23.75, 31.25 -26.25))"
NCEP2000_r007_c014,NCEP-AirTemp-Africa-2000,7,14,15.0,-22.5,20.679237842559814,23.658063888549805,23.93172264099121,23.34870719909668,21.6176700592041,17.86742401123047,17.151342391967773,16.83677864074707,18.004844665527344,19.125669479370117,21.725160598754883,20.657337188720703,24.226133346557617,-2.0340631519624797,0.9090909090909095,True,6.25,"POLYGON ((13.75 -23.75, 16.25 -23.75, 16.25 -21.25, 13.75 -21.25, 13.75 -23.75))"
NCEP2000_r007_c015,NCEP-AirTemp-Africa-2000,7,15,17.5,-22.5,19.783066670099895,22.05580711364746,22.89690399169922,21.49871063232422,19.631338119506836,15.3516206741333,13.863341331481934,13.116131782531738,15.950328826904297,19.71800422668457,24.291934967041016,22.852998733520508,26.169679641723633,-1.9509744613729085,0.8695652173913044,False,6.25,"POLYGON ((16.25 -23.75, 18.75 -23.75, 18.75 -21.25, 16.25 -21.25, 16.25 -23.75))"
NCEP2000_r007_c016,NCEP-AirTemp-Africa-2000,7,16,20.0,-22.5,20.316254536310833,20.94065284729004,21.715864181518555,20.7093563079834,19.155672073364258,16.27742576599121,15.230008125305176,13.676460266113281,17.065488815307617,21.987998962402344,26.24322509765625,25.150001525878906,25.642900466918945,-1.8619911433278498,0.7407407407407407,False,6.25,"POLYGON ((18.75 -23.75, 21.25 -23.75, 21.25 -21.25, 18.75 -21.25, 18.75 -23.75))"
NCEP2000_r007_c017,NCEP-AirTemp-Africa-2000,7,17,22.5,-22.5,20.748100996017456,21.69806671142578,22.02241325378418,21.4548397064209,19.450340270996094,16.34355354309082,15.655343055725098,13.944202423095703,17.681293487548828,23.09166717529297,26.72322654724121,25.940330505371094,24.971935272216797,-1.7680088456350833,0.6896551724137931,False,6.25,"POLYGON ((21.25 -23.75, 23.75 -23.75, 23.75 -21.25, 21.25 -21.25, 21.25 -23.75))"
NCEP2000_r007_c018,NCEP-AirTemp-Africa-2000,7,18,25.0,-22.5,20.356112241744995,21.80645179748535,21.715517044067383,21.514841079711914,19.529666900634766,16.276456832885742,15.080007553100586,13.543229103088379,17.171615600585938,22.630338668823242,25.569353103637695,25.172000885009766,24.26386833190918,-1.6703707429113517,0.689655172413793,False,6.25,"POLYGON ((23.75 -23.75, 26.25 -23.75, 26.25 -21.25, 23.75 -21.25, 23.75 -23.75))"
NCEP2000_r007_c019,NCEP-AirTemp-Africa-2000,7,19,27.5,-22.5,20.277934471766155,21.802906036376953,21.546207427978516,21.43290901184082,19.56867218017578,17.456134796142578,15.99400520324707,14.280648231506348,17.124849319458008,22.070335388183594,24.176767349243164,24.145008087158203,23.736770629882812,-1.5707963267948966,0.6896551724137931,False,6.25,"POLYGON ((26.25 -23.75, 28.75 -23.75, 28.75 -21.25, 26.25 -21.25, 26.25 -23.75))"
NCEP2000_r007_c020,NCEP-AirTemp-Africa-2000,7,20,30.0,-22.5,20.22383189201355,22.251291275024414,21.818626403808594,21.152902603149414,19.11200523376465,17.538719177246094,16.339675903320312,14.85484790802002,17.21258544921875,21.803668975830078,23.34741973876953,23.381338119506836,23.872901916503906,-1.4712219106784414,0.7407407407407407,False,6.25,"POLYGON ((28.75 -23.75, 31.25 -23.75, 31.25 -21.25, 28.75 -21.25, 28.75 -23.75))"
NCEP2000_r007_c021,NCEP-AirTemp-Africa-2000,7,21,32.5,-22.5,22.1027930577596,24.404836654663086,23.761384963989258,23.00483512878418,21.36133575439453,19.789676666259766,18.85167121887207,17.91419792175293,19.327421188354492,22.871337890625,23.813871383666992,24.41133689880371,25.72161102294922,-1.37358380795471,0.8,False,6.25,"POLYGON ((31.25 -23.75, 33.75 -23.75, 33.75 -21.25, 31.25 -21.25, 31.25 -23.75))"
