region,variant,view,cell_count,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
广东,No topology optimization,disk,108,0.4745762711864407,0.7734806629834254,0.588235294117647,181.0,295.0,140.0,41.0,155.0,0.49577421691545503,0.5062127040958667,26.605088228231,3.2182599743325984,0.9802414092047976,1.91194057170986,0.0,2.304160873041392e-14,0.0
广东,No topology optimization,annulus,108,0.4721189591078067,0.7016574585635359,0.5644444444444444,181.0,269.0,127.0,54.0,142.0,0.48913905825525644,0.5247233493284299,25.70066761412055,1.7733364887129373,0.9712862137624205,2.2414382815571146,5.510377966343905e-16,4.2101741617855116e-08,0.0
广东,No angular constraint,disk,108,0.4915254237288136,0.8011049723756906,0.6092436974789915,181.0,295.0,145.0,36.0,150.0,0.4857948131861394,0.5028750795345017,28.999926298670346,3.971233124447313,0.9802795164194461,1.912082443286811,0.0,2.2617530042124092e-14,0.0
广东,No angular constraint,annulus,108,0.4944237918215613,0.7348066298342542,0.5911111111111111,181.0,269.0,133.0,48.0,136.0,0.48551130835987666,0.5243675534514631,28.020921465691707,2.5057077261655856,0.9731344136728686,2.241425903360595,9.183963277239842e-16,4.554810759538445e-08,0.0
广东,No radial constraint,disk,108,0.2760942760942761,0.4530386740331492,0.34309623430962344,181.0,297.0,82.0,99.0,215.0,0.2967551123317086,0.38230999321700726,64.56610832880516,6.289781487016791,0.19226042470490728,1.517199835486908,0.0,2.883735080370822e-14,0.0
广东,No radial constraint,annulus,108,0.3111111111111111,0.46408839779005523,0.3725055432372506,181.0,270.0,84.0,97.0,186.0,0.31584244563016134,0.43538579033328695,58.2875069209276,4.657805868217344,0.17165394838377776,1.8401205514266104,0.0,4.854601403363261e-08,0.0
广东,No area balancing,disk,108,0.49491525423728816,0.8066298342541437,0.6134453781512604,181.0,295.0,146.0,35.0,149.0,0.49245797901512667,0.5047434790748249,28.82318278357368,3.7818528003737146,0.9801080339535282,1.912078401403175,0.0,2.2617530042124092e-14,0.0
广东,No area balancing,annulus,108,0.49814126394052044,0.7403314917127072,0.5955555555555555,181.0,269.0,134.0,47.0,135.0,0.48907359097272685,0.5265509046657437,28.12653013454965,2.339714995118842,0.9725818590604665,2.241432775605215,1.102075593268781e-15,3.97921273074197e-08,0.0
广东,No warp,disk,108,0.49491525423728816,0.8066298342541437,0.6134453781512604,181.0,295.0,146.0,35.0,149.0,0.49245797901512667,0.5047434790748249,28.712982712444585,3.779290912751793,0.9815846885211542,1.9089303222417646,1.2722360648694803e-15,1.2722360648694803e-15,0.0
广东,No warp,annulus,108,0.49814126394052044,0.7403314917127072,0.5955555555555555,181.0,269.0,134.0,47.0,135.0,0.48907359097272685,0.5265509046657437,28.033945453994747,2.3213128028128986,0.9753922661407871,2.235336641192327,0.0,1.8367926554479685e-16,0.0
福建,Full,disk,74,0.5968586387434555,0.912,0.7215189873417721,125.0,191.0,114.0,11.0,77.0,0.5967289643261198,0.5964237693039404,21.603840232369045,2.4943462097319964,0.9625916327286187,0.5701245446236336,0.0,3.5057171565292344e-14,0.0
福建,Full,annulus,74,0.5689655172413793,0.792,0.6622073578595318,125.0,174.0,99.0,26.0,75.0,0.6128595258626218,0.6882970686682575,23.307448755497735,2.0308417868389474,0.9534987041836355,0.5430829479688264,3.673585310895937e-16,3.0726474049268444e-08,0.0
