trial_id,dataset,transition,condition,task,stimulus_path,candidate_cell_ids,target_cell_id,ground_truth,color_limit,counterbalance_block
NCEP_M10_delta_annulus_change_localization,NCEP-AirTemp-Africa-2000,M09-M10,delta_annulus,change_localization,stimuli/NCEP_M10_delta_annulus.png,"[""NCEP2000_r027_c008"", ""NCEP2000_r021_c013"", ""NCEP2000_r023_c005"", ""NCEP2000_r019_c020""]",,NCEP2000_r027_c008,5.943693161010742,B
NCEP_M10_delta_annulus_increase_decrease,NCEP-AirTemp-Africa-2000,M09-M10,delta_annulus,increase_decrease,stimuli/NCEP_M10_delta_annulus.png,"[""increase"", ""decrease"", ""stable""]",NCEP2000_r027_c008,decrease,5.943693161010742,B
NCEP_M10_delta_annulus_temporal_comparison,NCEP-AirTemp-Africa-2000,M09-M10,delta_annulus,temporal_comparison,stimuli/NCEP_M10_delta_annulus.png,"[""NCEP2000_r027_c008"", ""NCEP2000_r027_c009""]",,NCEP2000_r027_c008,5.943693161010742,B
NCEP_M10_delta_annulus_radial_propagation,NCEP-AirTemp-Africa-2000,M09-M10,delta_annulus,radial_propagation,stimuli/NCEP_M10_delta_annulus.png,"[""inner"", ""outer""]",,inner,5.943693161010742,B
NCEP_M12_geographic_map_change_localization,NCEP-AirTemp-Africa-2000,M11-M12,geographic_map,change_localization,stimuli/NCEP_M12_geographic_map.png,"[""NCEP2000_r011_c020"", ""NCEP2000_r009_c016"", ""NCEP2000_r027_c015"", ""NCEP2000_r018_c011""]",,NCEP2000_r009_c016,5.943693161010742,A
NCEP_M12_geographic_map_increase_decrease,NCEP-AirTemp-Africa-2000,M11-M12,geographic_map,increase_decrease,stimuli/NCEP_M12_geographic_map.png,"[""increase"", ""decrease"", ""stable""]",NCEP2000_r011_c020,decrease,5.943693161010742,A
NCEP_M12_geographic_map_temporal_comparison,NCEP-AirTemp-Africa-2000,M11-M12,geographic_map,temporal_comparison,stimuli/NCEP_M12_geographic_map.png,"[""NCEP2000_r009_c016"", ""NCEP2000_r022_c020""]",,NCEP2000_r009_c016,5.943693161010742,A
NCEP_M12_geographic_map_radial_propagation,NCEP-AirTemp-Africa-2000,M11-M12,geographic_map,radial_propagation,stimuli/NCEP_M12_geographic_map.png,"[""inner"", ""outer""]",,inner,5.943693161010742,A
NCEP_M12_delta_annulus_change_localization,NCEP-AirTemp-Africa-2000,M11-M12,delta_annulus,change_localization,stimuli/NCEP_M12_delta_annulus.png,"[""NCEP2000_r011_c020"", ""NCEP2000_r009_c016"", ""NCEP2000_r027_c015"", ""NCEP2000_r018_c011""]",,NCEP2000_r009_c016,5.943693161010742,B
NCEP_M12_delta_annulus_increase_decrease,NCEP-AirTemp-Africa-2000,M11-M12,delta_annulus,increase_decrease,stimuli/NCEP_M12_delta_annulus.png,"[""increase"", ""decrease"", ""stable""]",NCEP2000_r011_c020,decrease,5.943693161010742,B
NCEP_M12_delta_annulus_temporal_comparison,NCEP-AirTemp-Africa-2000,M11-M12,delta_annulus,temporal_comparison,stimuli/NCEP_M12_delta_annulus.png,"[""NCEP2000_r009_c016"", ""NCEP2000_r022_c020""]",,NCEP2000_r009_c016,5.943693161010742,B
NCEP_M12_delta_annulus_radial_propagation,NCEP-AirTemp-Africa-2000,M11-M12,delta_annulus,radial_propagation,stimuli/NCEP_M12_delta_annulus.png,"[""inner"", ""outer""]",,inner,5.943693161010742,B
