dataset,method,view,node_group,node_count,mean_reference_degree,mean_display_degree,degree_absolute_error,node_adj_precision,node_adj_recall,node_adj_f1,node_neighbor_jaccard,node_angular_error_deg,node_radial_rank_error,node_direction_error_deg,node_neighbor_order_accuracy
湖南,GeoDisk,disk,interior,93,4.0,5.913978494623656,1.935483870967742,0.5465437788018431,0.7983870967741935,0.6449959837056609,0.4927334016043693,2.4345110070616776,0.03589500316255534,25.46148435291798,0.8864341085271317
湖南,GeoDisk,disk,all,137,3.5328467153284673,5.445255474452555,1.9416058394160585,0.5381647549530761,0.8290754257907542,0.6436023019964625,0.4959709187811377,2.168259594320291,0.0399313009875483,25.636559607189067,0.8647058823529412
湖南,GeoAnnulus,annulus,boundary,44,2.5454545454545454,4.159090909090909,1.6136363636363635,0.5556818181818183,0.9053030303030302,0.6785533910533911,0.538176406926407,1.39035783824402,0.052306149732620315,23.960776783390045,0.8137254901960783
湖南,GeoAnnulus,annulus,interior,93,4.0,5.344086021505376,1.4301075268817205,0.5401945724526369,0.7231182795698925,0.6113516113516112,0.4610727086533537,2.2299776841984587,0.04182479443390259,25.526832986702995,0.8714285714285713
湖南,GeoAnnulus,annulus,all,137,3.5328467153284673,4.963503649635037,1.489051094890511,0.5451685783802571,0.7816301703163017,0.6329346646864895,0.48583594021550225,1.9603187555707553,0.04519106912838127,25.02386603089446,0.8537537537537537
湖南,GeoDisk-Final,disk,boundary,44,2.5454545454545454,4.0,1.4545454545454546,0.6405844155844156,0.9924242424242423,0.7695887445887444,0.6397727272727273,1.4034428891952493,0.052807486631016025,18.873344969870107,0.8717948717948716
湖南,GeoDisk-Final,disk,interior,93,4.0,5.978494623655914,1.978494623655914,0.6758320532514079,0.9973118279569892,0.8031280547409579,0.6750640040962621,4.835089999323891,0.041745730550284625,10.287859644519529,0.9770609318996415
湖南,GeoDisk-Final,disk,all,137,3.5328467153284673,5.343065693430657,1.8102189781021898,0.6645116440736878,0.9957420924574208,0.7923563054949917,0.6637295794230101,3.7329551610344,0.04529841133533705,13.045241792807307,0.945959595959596
湖南,GeoAnnulus-Final,annulus,boundary,44,2.5454545454545454,3.7045454545454546,1.2045454545454546,0.6700757575757575,0.9696969696969696,0.7785714285714285,0.6541666666666667,0.9257559981874806,0.10177139037433154,25.704834258600943,0.9
湖南,GeoAnnulus-Final,annulus,interior,93,4.0,5.602150537634409,1.7956989247311828,0.6413722478238606,0.9032258064516129,0.7431240205433751,0.6080773169482846,1.7796886883102032,0.05985135989879823,16.606045739631554,0.9647286821705425
湖南,GeoAnnulus-Final,annulus,all,137,3.5328467153284673,4.992700729927007,1.6058394160583942,0.6505908932916232,0.9245742092457421,0.7545085895450858,0.6228797358359401,1.505432933818234,0.07331472735079432,19.528284388059678,0.9441798941798941
江西,Direct Polar,disk,boundary,38,2.6315789473684212,3.4473684210526314,0.8157894736842105,0.7894736842105264,1.0,0.8741228070175437,0.7894736842105264,0.9567914834947929,0.05734856007944389,14.954817377585563,0.855855855855856
江西,Direct Polar,disk,interior,69,4.0,5.115942028985507,1.1159420289855073,0.7982056590752241,1.0,0.8832381788903527,0.7982056590752241,1.296181603972398,0.028848783155592018,11.396429925876664,0.9743961352657005
江西,Direct Polar,disk,all,107,3.514018691588785,4.5233644859813085,1.0093457943925233,0.7951045838896306,1.0,0.8800009440196358,0.7951045838896306,1.1756505331485756,0.038970199259389875,12.660156310595713,0.9330188679245284
