dataset,method,view,cell_id,is_boundary,reference_degree,display_degree,degree_absolute_error,node_adj_precision,node_adj_recall,node_adj_f1,node_neighbor_jaccard,node_angular_error_deg,node_radial_rank_error,node_direction_error_deg,node_neighbor_order_accuracy,failure_category,failure_rank
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r020_c003,True,3,4,1,0.25,0.3333333333333333,0.2857142857142857,0.1666666666666666,0.0040488656906006,0.195,14.688747539353123,,mixed_lost_and_new,9
NCEP-AirTemp-Africa-2000,GeoAnnulus-Final,annulus,NCEP2000_r021_c002,True,2,4,2,0.25,0.5,0.3333333333333333,0.2,0.4857147506402363,0.1975,16.08544955314345,,mixed_lost_and_new,10
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r019_c007,False,4,5,1,0.2,0.25,0.2222222222222222,0.125,0.6909567881318289,0.015,48.15163321567816,,mixed_lost_and_new,1
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r019_c011,False,4,10,6,0.2,0.5,0.2857142857142857,0.1666666666666666,3.3189587836214485,0.1275,36.66308649193112,1.0,mixed_lost_and_new,2
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r019_c005,False,4,3,1,0.3333333333333333,0.25,0.2857142857142857,0.1666666666666666,0.1813876637014109,0.1999999999999999,52.69658739211832,,mixed_lost_and_new,3
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r020_c004,False,4,8,4,0.25,0.5,0.3333333333333333,0.2,0.9265733638578774,0.035,38.010644538576635,,mixed_lost_and_new,4
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r020_c010,False,4,7,3,0.2857142857142857,0.5,0.3636363636363636,0.2222222222222222,3.1752854982023786,0.03,33.47429875402382,,mixed_lost_and_new,5
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r022_c004,False,4,7,3,0.2857142857142857,0.5,0.3636363636363636,0.2222222222222222,0.3768514774490099,0.0324999999999999,18.302843632328972,,mixed_lost_and_new,6
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r020_c007,False,4,6,2,0.3333333333333333,0.5,0.4,0.25,1.290265293610794,0.1274999999999999,43.09532311321739,,mixed_lost_and_new,7
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r022_c006,False,4,6,2,0.3333333333333333,0.5,0.4,0.25,1.135756980210178,0.1849999999999999,28.58952895013315,,mixed_lost_and_new,8
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r021_c009,False,4,6,2,0.3333333333333333,0.5,0.4,0.25,2.5931548764500545,0.215,27.6809674622046,,mixed_lost_and_new,9
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r022_c008,False,4,6,2,0.3333333333333333,0.5,0.4,0.25,1.861146503941499,0.3075,26.964054627829764,,mixed_lost_and_new,10
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r018_c007,True,1,4,3,0.0,0.0,0.0,0.0,0.7645022535731758,0.29,17.451897560436713,,mixed_lost_and_new,1
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r018_c005,True,1,3,2,0.0,0.0,0.0,0.0,0.6187365007105268,0.03,13.650339362935153,,mixed_lost_and_new,2
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r007_c022,True,1,3,2,0.0,0.0,0.0,0.0,0.3225477412280272,0.16,1.8906725377346452,,mixed_lost_and_new,3
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r019_c003,True,2,3,1,0.0,0.0,0.0,0.0,0.0436714582657523,0.2099999999999999,41.49680093524501,,mixed_lost_and_new,4
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r019_c008,True,3,3,0,0.0,0.0,0.0,0.0,0.3233222161711175,0.0799999999999999,86.57321951623182,,mixed_lost_and_new,5
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r019_c010,True,3,6,3,0.1666666666666666,0.3333333333333333,0.2222222222222222,0.125,0.3798588426465394,0.295,49.36704184582603,,mixed_lost_and_new,6
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r019_c009,True,3,5,2,0.2,0.3333333333333333,0.25,0.1428571428571428,0.5307056667619738,0.305,69.89185461132196,,mixed_lost_and_new,7
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r019_c006,True,3,5,2,0.2,0.3333333333333333,0.25,0.1428571428571428,0.5363946467198754,0.0999999999999999,45.81549775408303,,mixed_lost_and_new,8
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r022_c002,True,3,5,2,0.2,0.3333333333333333,0.25,0.1428571428571428,0.0339705861020281,0.1125,37.79199922532016,,mixed_lost_and_new,9
NCEP-AirTemp-Africa-2000,GeoDisk-Final,disk,NCEP2000_r019_c004,True,3,4,1,0.25,0.3333333333333333,0.2857142857142857,0.1666666666666666,0.7783715309577007,0.1875,81.15223853812302,,mixed_lost_and_new,10
NE-Admin0-Africa,GeoAnnulus-Final,annulus,BDI,False,3,4,1,0.25,0.3333333333333333,0.2857142857142857,0.1666666666666666,6.2918612915003,0.0204081632653061,35.72064895807454,,mixed_lost_and_new,1
NE-Admin0-Africa,GeoAnnulus-Final,annulus,LSO,False,1,4,3,0.25,1.0,0.4,0.25,5.5147795945479485,0.3673469387755101,79.68935877532908,,over_connected,2
NE-Admin0-Africa,GeoAnnulus-Final,annulus,MWI,False,3,6,3,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.2857142857142857,3.482082728154243,0.0,30.422054843364165,1.0,mixed_lost_and_new,3
NE-Admin0-Africa,GeoAnnulus-Final,annulus,ZMB,False,8,4,4,0.75,0.375,0.5,0.3333333333333333,1.9009312965946252,0.0816326530612245,21.26209765110037,0.6666666666666666,mixed_lost_and_new,4
NE-Admin0-Africa,GeoAnnulus-Final,annulus,SDS,False,6,5,1,0.6,0.5,0.5454545454545454,0.375,10.263978515348674,0.0,18.77337772264111,1.0,mixed_lost_and_new,5
NE-Admin0-Africa,GeoAnnulus-Final,annulus,UGA,False,5,6,1,0.5,0.6,0.5454545454545454,0.375,5.170485454466612,0.0204081632653061,8.651854893610189,1.0,mixed_lost_and_new,6
NE-Admin0-Africa,GeoAnnulus-Final,annulus,SWZ,False,2,5,3,0.4,1.0,0.5714285714285715,0.4,1.9316656585506915,0.2244897959183673,46.10179932594335,1.0,over_connected,7
NE-Admin0-Africa,GeoAnnulus-Final,annulus,MLI,False,7,3,4,1.0,0.4285714285714285,0.6,0.4285714285714285,4.538034619420794,0.0408163265306122,39.157342190587165,0.6666666666666666,under_connected,8
NE-Admin0-Africa,GeoAnnulus-Final,annulus,ZWE,False,4,6,2,0.5,0.75,0.6,0.4285714285714285,3.326514780655751,0.0,26.45475638430715,1.0,mixed_lost_and_new,9
NE-Admin0-Africa,GeoAnnulus-Final,annulus,NER,False,8,8,0,0.625,0.625,0.625,0.4545454545454545,3.637724885180541,0.1224489795918367,15.8625757675469,1.0,mixed_lost_and_new,10
