dataset,method,view,cell_count,weighted_adj_precision,weighted_adj_recall,weighted_adj_f1,weighted_edge_overlap,reference_internal_boundary,display_internal_boundary
NASA-Exoplanet-SkyGrid,GeoAnnulus,annulus,162,0.627025649735048,0.7410544710963846,0.6792879366537127,0.43200768322159355,5940.000000000014,20.042260418841078
NASA-Exoplanet-SkyGrid,GeoDisk-Final,disk,162,0.8665943402052594,0.9656178055683363,0.9134301691397533,0.7089766854733625,5940.000000000014,39.9802510622455
NASA-Exoplanet-SkyGrid,GeoAnnulus-Final,annulus,162,0.6489102597433685,0.8693857303182243,0.7431401041309356,0.5154503167669996,5940.000000000014,31.459977877700645
Synthetic-concave_u,GeoDisk-Final,disk,172,0.8793765976921838,0.9764309764309764,0.9253659289981374,0.6387967858659936,297.0,42.47965869097906
Synthetic-concave_u,GeoAnnulus-Final,annulus,172,0.7862859470627639,0.9663299663299664,0.8670601093425379,0.5527030180647535,297.0,30.524536883411248
Synthetic-disconnected,GeoDisk-Final,disk,160,0.8152004687928124,0.9788732394366197,0.8895709468536767,0.6569083842921996,284.0,36.203018596699756
Synthetic-disconnected,GeoAnnulus-Final,annulus,160,0.6739662868336621,0.9014084507042254,0.7712690726412009,0.5348804473968035,284.0,30.56587637454881
Synthetic-disk_like,GeoDisk-Final,disk,149,0.8632049173857089,1.0,0.9265807634265852,0.8215680979982377,268.0,38.3089400638602
Synthetic-disk_like,GeoAnnulus-Final,annulus,149,0.8168686777322369,0.9365671641791045,0.8726323059262514,0.7247036966862185,268.0,31.733549805053556
Synthetic-elongated,GeoDisk-Final,disk,203,0.8252001581574899,0.9243243243243243,0.8719541638414038,0.589564489172862,370.0,45.49292863203177
Synthetic-elongated,GeoAnnulus-Final,annulus,203,0.7511397232373366,0.8243243243243243,0.786032211638322,0.5639953629636644,370.0,36.59268065676643
Synthetic-hole,GeoDisk-Final,disk,264,0.8616480400412546,0.9669421487603306,0.9112635651388395,0.7088563504809198,484.0,49.98365572561894
Synthetic-hole,GeoAnnulus-Final,annulus,264,0.6807656106008042,0.878099173553719,0.766942362324998,0.5236038778383891,484.0,42.333453657639275
Synthetic-l_shape,GeoDisk-Final,disk,145,0.8806460839008664,0.984375,0.9296259396990217,0.6649653868149469,256.0,37.672961677728345
Synthetic-l_shape,GeoAnnulus-Final,annulus,145,0.6809575786925831,0.79296875,0.7327070145464611,0.4998013362674854,256.0,28.8473235465204
