dataset,method,view,boundary_definition,node_group,node_count,node_adj_f1,node_neighbor_jaccard,degree_absolute_error,node_direction_error_deg,node_neighbor_order_accuracy
广西,GeoAnnulus-Final,annulus,topological,interior,96,0.7536292989417991,0.619717261904762,1.7083333333333333,17.14363861261741,0.9512820512820512
广西,GeoAnnulus-Final,annulus,geographic,boundary,45,0.7407231040564374,0.6034920634920635,1.4,25.54759395866814,0.8658536585365852
广西,GeoAnnulus-Final,annulus,geographic,interior,97,0.7565455735558829,0.6236867943053511,1.6804123711340206,17.15450588546854,0.9626811594202899
安徽,GeoDisk-Final,disk,topological,boundary,37,0.7021235521235522,0.5563063063063065,1.7837837837837838,23.43783637873856,0.9462365591397849
安徽,GeoDisk-Final,disk,topological,interior,59,0.8028077384009586,0.6744955609362387,1.9661016949152543,13.653995929492865,0.9570621468926555
安徽,GeoDisk-Final,disk,geographic,boundary,41,0.7113627564847077,0.567479674796748,1.7560975609756098,23.52999771583009,0.9333333333333332
安徽,GeoDisk-Final,disk,geographic,interior,55,0.803242817788272,0.6747619047619045,2.0,12.8737418091704,0.9660606060606061
安徽,GeoAnnulus-Final,annulus,topological,boundary,37,0.7490347490347491,0.6157657657657657,1.4594594594594594,23.386442086831277,0.9569892473118279
安徽,GeoAnnulus-Final,annulus,topological,interior,59,0.7692652921466481,0.6417271993543179,1.728813559322034,18.033172458952283,0.9148809523809524
安徽,GeoAnnulus-Final,annulus,geographic,boundary,41,0.753007426178158,0.6196283391405344,1.5365853658536586,23.191112786558563,0.9333333333333335
安徽,GeoAnnulus-Final,annulus,geographic,interior,55,0.7677751541387903,0.6407359307359307,1.690909090909091,17.78945287349166,0.9275641025641025
浙江,GeoDisk-Final,disk,topological,boundary,23,0.7474120082815735,0.6079710144927536,1.5217391304347827,13.342426244004358,0.9565217391304348
浙江,GeoDisk-Final,disk,topological,interior,42,0.804040404040404,0.6743764172335601,1.9761904761904763,5.221895446872405,0.9404761904761905
浙江,GeoDisk-Final,disk,geographic,boundary,18,0.7687830687830688,0.6342592592592592,1.5,12.71928736758676,0.9444444444444444
浙江,GeoDisk-Final,disk,geographic,interior,47,0.7898314451505938,0.6572441742654508,1.9361702127659575,6.324430633280416,0.9468085106382975
浙江,GeoAnnulus-Final,annulus,topological,boundary,23,0.7350931677018633,0.5913043478260869,1.6521739130434783,14.042406774344581,0.9565217391304348
浙江,GeoAnnulus-Final,annulus,topological,interior,42,0.753913282484711,0.6303287981859411,1.4761904761904763,14.69192573901454,0.8991452991452991
浙江,GeoAnnulus-Final,annulus,geographic,boundary,18,0.7799823633156966,0.6546296296296297,1.3888888888888888,13.763871819308484,0.9444444444444444
浙江,GeoAnnulus-Final,annulus,geographic,interior,47,0.7347195357833656,0.6019250253292807,1.5957446808510638,14.729500938318793,0.9106060606060603
