dataset,method,view,tolerance,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2
湖南,GeoDisk-Final,disk,5e-06,0.6584699453551912,0.9958677685950413,0.7927631578947367,242,366,241,1,125,0.6592319911826815
湖南,GeoDisk-Final,disk,2e-05,0.6584699453551912,0.9958677685950413,0.7927631578947367,242,366,241,1,125,0.6592319911826815
湖南,GeoDisk-Final,disk,0.0001,0.6584699453551912,0.9958677685950413,0.7927631578947367,242,366,241,1,125,0.6592319911826815
湖南,GeoDisk-Final,disk,0.0005,0.6584699453551912,0.9958677685950413,0.7927631578947367,242,366,241,1,125,0.6592319911826815
湖南,GeoAnnulus-Final,annulus,1e-06,0.6491228070175439,0.9173553719008265,0.7602739726027398,242,342,222,20,120,0.6511536841851411
湖南,GeoAnnulus-Final,annulus,5e-06,0.6491228070175439,0.9173553719008265,0.7602739726027398,242,342,222,20,120,0.6511536841851411
湖南,GeoAnnulus-Final,annulus,2e-05,0.6491228070175439,0.9173553719008265,0.7602739726027398,242,342,222,20,120,0.6511536841851411
湖南,GeoAnnulus-Final,annulus,0.0001,0.6491228070175439,0.9173553719008265,0.7602739726027398,242,342,222,20,120,0.6511536841851411
湖南,GeoAnnulus-Final,annulus,0.0005,0.6510263929618768,0.9173553719008265,0.7615780445969124,242,341,222,20,119,0.6535399453870222
江西,Direct Polar,disk,1e-06,0.6696428571428571,0.7978723404255319,0.7281553398058253,188,224,150,38,74,0.5522535020621737
江西,Direct Polar,disk,5e-06,0.7094339622641509,1.0,0.8300220750551877,188,265,188,0,77,0.7179508571923432
江西,Direct Polar,disk,2e-05,0.7768595041322314,1.0,0.8744186046511627,188,242,188,0,54,0.7856043915174872
江西,Direct Polar,disk,0.0001,0.8209606986899564,1.0,0.9016786570743405,188,229,188,0,41,0.832104014731832
江西,Direct Polar,disk,0.0005,0.8173913043478261,1.0,0.8995215311004785,188,230,188,0,42,0.826418928789737
江西,Direct Polar,annulus,1e-06,0.6556016597510373,0.8404255319148937,0.7365967365967367,188,241,158,30,83,0.5843193771465522
江西,Direct Polar,annulus,5e-06,0.6702508960573477,0.9946808510638298,0.8008565310492505,188,279,187,1,92,0.6897640244863271
江西,Direct Polar,annulus,2e-05,0.704119850187266,1.0,0.8263736263736264,188,267,188,0,79,0.7301873055573036
江西,Direct Polar,annulus,0.0001,0.7094339622641509,1.0,0.8300220750551877,188,265,188,0,77,0.7365355857279559
江西,Direct Polar,annulus,0.0005,0.7121212121212122,1.0,0.8318584070796461,188,264,188,0,76,0.739732590299342
江西,Harmonic,disk,1e-06,0.6436363636363637,0.9414893617021277,0.7645788336933046,188,275,177,11,98,0.6541365123414602
江西,Harmonic,disk,5e-06,0.6436363636363637,0.9414893617021277,0.7645788336933046,188,275,177,11,98,0.6541365123414602
江西,Harmonic,disk,2e-05,0.6436363636363637,0.9414893617021277,0.7645788336933046,188,275,177,11,98,0.6541365123414602
江西,Harmonic,disk,0.0001,0.6436363636363637,0.9414893617021277,0.7645788336933046,188,275,177,11,98,0.6541365123414602
江西,Harmonic,disk,0.0005,0.6436363636363637,0.9414893617021277,0.7645788336933046,188,275,177,11,98,0.6541365123414602
江西,Harmonic,annulus,1e-06,0.6168582375478927,0.8563829787234043,0.7171492204899778,188,261,161,27,100,0.6193605544809245
江西,Harmonic,annulus,5e-06,0.6168582375478927,0.8563829787234043,0.7171492204899778,188,261,161,27,100,0.6193605544809245
江西,Harmonic,annulus,2e-05,0.6168582375478927,0.8563829787234043,0.7171492204899778,188,261,161,27,100,0.6193605544809245
江西,Harmonic,annulus,0.0001,0.6168582375478927,0.8563829787234043,0.7171492204899778,188,261,161,27,100,0.6193605544809245
江西,Harmonic,annulus,0.0005,0.6168582375478927,0.8563829787234043,0.7171492204899778,188,261,161,27,100,0.6193605544809245
