region,seed,view,cell_count,selected_candidate,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2,np3,local_direction_error_deg,angular_error_deg,radial_spearman,area_cv,overlap_ratio,gap_ratio,invalid_polygon_count
安徽,20260828,disk,96,force_3,0.6557377049180327,1.0,0.7920792079207921,160,244,160,0,84,0.6630303332073844,0.6665843522818305,15.261421616718735,3.293077596828384,0.9511801410743354,0.6595175694244151,0.0,1.8376743159225824e-15,0
安徽,20260828,annulus,96,force_4,0.6536796536796536,0.94375,0.772378516624041,160,231,151,9,80,0.6515721851695634,0.6693707768896445,19.446620784929415,2.0190661198205855,0.9511665762344004,0.7234533020788712,0.0,7.347170621791874e-16,0
安徽,20260829,disk,96,force_3,0.6557377049180327,1.0,0.7920792079207921,160,244,160,0,84,0.6630303332073844,0.6665843522818305,15.261421616718735,3.293077596828384,0.9511801410743354,0.6595175694244151,0.0,1.8376743159225824e-15,0
安徽,20260829,annulus,96,force_4,0.6536796536796536,0.94375,0.772378516624041,160,231,151,9,80,0.6515721851695634,0.6693707768896445,19.446620784929415,2.0190661198205855,0.9511665762344004,0.7234533020788712,0.0,7.347170621791874e-16,0
安徽,20260830,disk,96,force_3,0.6557377049180327,1.0,0.7920792079207921,160,244,160,0,84,0.6630303332073844,0.6665843522818305,15.261421616718735,3.293077596828384,0.9511801410743354,0.6595175694244151,0.0,1.8376743159225824e-15,0
安徽,20260830,annulus,96,force_4,0.6536796536796536,0.94375,0.772378516624041,160,231,151,9,80,0.6515721851695634,0.6693707768896445,19.446620784929415,2.0190661198205855,0.9511665762344004,0.7234533020788712,0.0,7.347170621791874e-16,0
安徽,20260831,disk,96,force_3,0.6557377049180327,1.0,0.7920792079207921,160,244,160,0,84,0.6630303332073844,0.6665843522818305,15.261421616718735,3.293077596828384,0.9511801410743354,0.6595175694244151,0.0,1.8376743159225824e-15,0
安徽,20260831,annulus,96,force_4,0.6536796536796536,0.94375,0.772378516624041,160,231,151,9,80,0.6515721851695634,0.6693707768896445,19.446620784929415,2.0190661198205855,0.9511665762344004,0.7234533020788712,0.0,7.347170621791874e-16,0
浙江,20260827,disk,65,harmonic,0.650887573964497,1.0,0.7885304659498208,110,169,110,0,59,0.6573721305949218,0.6677065289237271,7.233716642910034,2.671938497863552,0.8864510489510489,0.29638364883918605,4.2407868828982674e-16,1.2722360648694803e-15,0
浙江,20260827,annulus,65,force_4,0.6451612903225806,0.9090909090909091,0.7547169811320754,110,155,100,10,55,0.6590869611058942,0.6946146478004469,14.560860082187716,1.681406731957828,0.9159965034965035,0.29404614184095246,0.0,1.102075593268781e-15,0
浙江,20260828,disk,65,harmonic,0.650887573964497,1.0,0.7885304659498208,110,169,110,0,59,0.6573721305949218,0.6677065289237271,7.233716642910034,2.671938497863552,0.8864510489510489,0.29638364883918605,4.2407868828982674e-16,1.2722360648694803e-15,0
浙江,20260828,annulus,65,force_4,0.6451612903225806,0.9090909090909091,0.7547169811320754,110,155,100,10,55,0.6590869611058942,0.6946146478004469,14.560860082187716,1.681406731957828,0.9159965034965035,0.29404614184095246,0.0,1.102075593268781e-15,0
浙江,20260829,disk,65,harmonic,0.650887573964497,1.0,0.7885304659498208,110,169,110,0,59,0.6573721305949218,0.6677065289237271,7.233716642910034,2.671938497863552,0.8864510489510489,0.29638364883918605,4.2407868828982674e-16,1.2722360648694803e-15,0
浙江,20260829,annulus,65,force_4,0.6451612903225806,0.9090909090909091,0.7547169811320754,110,155,100,10,55,0.6590869611058942,0.6946146478004469,14.560860082187716,1.681406731957828,0.9159965034965035,0.29404614184095246,0.0,1.102075593268781e-15,0
浙江,20260830,disk,65,harmonic,0.650887573964497,1.0,0.7885304659498208,110,169,110,0,59,0.6573721305949218,0.6677065289237271,7.233716642910034,2.671938497863552,0.8864510489510489,0.29638364883918605,4.2407868828982674e-16,1.2722360648694803e-15,0
浙江,20260830,annulus,65,force_4,0.6451612903225806,0.9090909090909091,0.7547169811320754,110,155,100,10,55,0.6590869611058942,0.6946146478004469,14.560860082187716,1.681406731957828,0.9159965034965035,0.29404614184095246,0.0,1.102075593268781e-15,0
浙江,20260831,disk,65,harmonic,0.650887573964497,1.0,0.7885304659498208,110,169,110,0,59,0.6573721305949218,0.6677065289237271,7.233716642910034,2.671938497863552,0.8864510489510489,0.29638364883918605,4.2407868828982674e-16,1.2722360648694803e-15,0
浙江,20260831,annulus,65,force_4,0.6451612903225806,0.9090909090909091,0.7547169811320754,110,155,100,10,55,0.6590869611058942,0.6946146478004469,14.560860082187716,1.681406731957828,0.9159965034965035,0.29404614184095246,0.0,1.102075593268781e-15,0
