dataset,method,view,cell_id,is_boundary,reference_degree,display_degree,degree_absolute_error,node_adj_precision,node_adj_recall,node_adj_f1,node_neighbor_jaccard,node_angular_error_deg,node_radial_rank_error,node_direction_error_deg,node_neighbor_order_accuracy
湖北,Direct Polar,disk,CEG2000_f4_r0032_c0094,False,4,7,3,0.5714285714285714,1.0,0.7272727272727273,0.5714285714285714,1.1685583188450104,0.0697674418604651,12.297031123139103,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0032_c0095,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,1.6876639543008707,0.007751937984496124,7.357111568522576,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0032_c0096,False,4,5,1,0.8,1.0,0.888888888888889,0.8,2.900151378448868,0.007751937984496124,7.327447363592229,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0032_c0097,False,4,5,1,0.8,1.0,0.888888888888889,0.8,16.192769829963346,0.0,16.494772444091428,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0032_c0098,False,4,5,1,0.8,1.0,0.888888888888889,0.8,13.592111481162693,0.0,7.977787185724669,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0032_c0099,False,4,5,1,0.8,1.0,0.888888888888889,0.8,10.573265934728472,0.023255813953488372,10.36871839259777,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0032_c0100,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,5.508636348257306,0.031007751937984496,17.52476458519635,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0032_c0101,False,4,7,3,0.5714285714285714,1.0,0.7272727272727273,0.5714285714285714,3.7134511652949564,0.04651162790697677,27.536365390299967,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0032_c0102,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.45141095175249807,0.03875968992248058,30.245555983005854,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0032_c0103,True,3,4,1,0.75,1.0,0.8571428571428571,0.75,0.9607688212189913,0.046511627906976716,14.379605891363104,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0032_c0104,True,2,3,1,0.6666666666666666,1.0,0.8,0.6666666666666666,0.7389050538654449,0.10077519379844968,15.410746648786661,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0033_c0090,True,2,3,1,0.6666666666666666,1.0,0.8,0.6666666666666666,0.28390838973424504,0.023255813953488413,13.430925097107526,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0033_c0091,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.2700858977523857,0.007751937984496138,16.237425184354738,0.8333333333333334
湖北,Direct Polar,disk,CEG2000_f4_r0033_c0092,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.19337694945142697,0.0,13.428410171877774,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0033_c0093,False,4,5,1,0.8,1.0,0.888888888888889,0.8,0.7175645319684489,0.015503875968992276,11.262268797651668,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0033_c0094,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.5980020613363621,0.0,8.977132759603593,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0033_c0095,False,4,4,0,1.0,1.0,1.0,1.0,0.15700506516890878,0.007751937984496124,13.635645066161842,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0033_c0096,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,4.830533377992895,0.007751937984496124,29.4350988550814,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0033_c0097,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,4.797390935575863,0.031007751937984496,25.22502557326514,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0033_c0098,False,4,4,0,1.0,1.0,1.0,1.0,0.08837147804737178,0.0,4.381431989657237,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0033_c0099,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.5738248936950487,0.031007751937984496,6.2694044843096455,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0033_c0100,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,2.339013633554029,0.16279069767441862,15.01285797458141,0.8333333333333334
湖北,Direct Polar,disk,CEG2000_f4_r0033_c0101,True,3,4,1,0.75,1.0,0.8571428571428571,0.75,1.6042289132717862,0.06976744186046502,21.3083441324516,0.6666666666666666
湖北,Direct Polar,disk,CEG2000_f4_r0033_c0102,True,2,3,1,0.6666666666666666,1.0,0.8,0.6666666666666666,4.648583216509595,0.007751937984496138,30.629045307950857,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0034_c0090,True,3,4,1,0.75,1.0,0.8571428571428571,0.75,0.15560446876700543,0.015503875968992276,12.998933958301707,0.6666666666666666
湖北,Direct Polar,disk,CEG2000_f4_r0034_c0091,False,4,5,1,0.8,1.0,0.888888888888889,0.8,0.28195834208480264,0.023255813953488413,7.9136000102970385,0.8
湖北,Direct Polar,disk,CEG2000_f4_r0034_c0092,False,4,5,1,0.8,1.0,0.888888888888889,0.8,0.3409070438431604,0.023255813953488358,9.344053277748962,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0034_c0093,False,4,5,1,0.8,1.0,0.888888888888889,0.8,0.30153756935147813,0.054263565891472854,4.7303958746634605,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0034_c0094,False,4,4,0,1.0,1.0,1.0,1.0,0.31528528270165684,0.007751937984496138,20.505446728788645,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0034_c0095,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,1.9509740736809482,0.00775193798449611,44.52974858045795,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0034_c0096,True,3,5,2,0.6,1.0,0.7499999999999999,0.6,2.610640621237341,0.007751937984496138,49.33667432918097,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0034_c0097,False,4,4,0,1.0,1.0,1.0,1.0,0.3908080746374434,0.015503875968992276,13.531980391711741,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0034_c0098,False,4,4,0,1.0,1.0,1.0,1.0,0.30348410408795645,0.01550387596899222,2.751289293387715,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0034_c0099,True,3,4,1,0.75,1.0,0.8571428571428571,0.75,0.20529133019792822,0.03100775193798455,4.476285555237211,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0034_c0100,True,2,3,1,0.6666666666666666,1.0,0.8,0.6666666666666666,3.958638194215684,0.015503875968992165,6.666484861347421,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0035_c0090,True,3,4,1,0.75,1.0,0.8571428571428571,0.75,0.43012416655657054,0.023255813953488413,3.906014679631942,0.6666666666666666
湖北,Direct Polar,disk,CEG2000_f4_r0035_c0091,False,4,8,4,0.5,1.0,0.6666666666666666,0.5,0.39180111931242556,0.10077519379844968,6.752364002137497,0.6666666666666666
湖北,Direct Polar,disk,CEG2000_f4_r0035_c0092,False,4,5,1,0.8,1.0,0.888888888888889,0.8,3.034062976182759,0.08527131782945735,16.684945576758867,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0035_c0093,False,4,7,3,0.5714285714285714,1.0,0.7272727272727273,0.5714285714285714,0.42628530674258236,0.007751937984496138,24.80013818172561,0.8
湖北,Direct Polar,disk,CEG2000_f4_r0035_c0094,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,1.9620916330562843,0.054263565891472854,47.97973770266075,0.8333333333333334
湖北,Direct Polar,disk,CEG2000_f4_r0035_c0095,True,2,4,2,0.5,1.0,0.6666666666666666,0.5,3.016941610937183,0.3798449612403101,64.49106666932666,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0035_c0097,True,2,2,0,1.0,1.0,1.0,1.0,1.5694416417577386,0.07751937984496127,2.843413019917035,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0035_c0098,True,2,2,0,1.0,1.0,1.0,1.0,0.11173888254422668,0.015503875968992276,0.7924048997826385,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0036_c0090,True,3,4,1,0.75,1.0,0.8571428571428571,0.75,3.2562968619190835,0.26356589147286824,29.826684617645327,0.6666666666666666
湖北,Direct Polar,disk,CEG2000_f4_r0036_c0091,False,4,8,4,0.5,1.0,0.6666666666666666,0.5,0.8317654482006933,0.07751937984496127,17.741430152610587,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0036_c0092,False,4,7,3,0.5714285714285714,1.0,0.7272727272727273,0.5714285714285714,0.5628681043238045,0.0,26.592131265745877,0.8333333333333334
湖北,Direct Polar,disk,CEG2000_f4_r0036_c0093,True,3,5,2,0.6,1.0,0.7499999999999999,0.6,0.5592043069530915,0.007751937984496138,51.75746283551329,0.6666666666666666
湖北,Direct Polar,disk,CEG2000_f4_r0036_c0094,True,2,3,1,0.6666666666666666,1.0,0.8,0.6666666666666666,1.5239114094049435,0.15503875968992253,50.75680887641161,1.0
湖北,Direct Polar,disk,CEG2000_f4_r0037_c0090,True,2,3,1,0.6666666666666666,1.0,0.8,0.6666666666666666,1.9483576506506746,0.046511627906976716,65.46545362067512,0.0
湖北,Direct Polar,disk,CEG2000_f4_r0037_c0091,True,3,4,1,0.75,1.0,0.8571428571428571,0.75,2.4291196043345527,0.015503875968992165,35.804168628334416,0.6666666666666666
湖北,Direct Polar,disk,CEG2000_f4_r0037_c0092,True,2,3,1,0.6666666666666666,1.0,0.8,0.6666666666666666,2.489789992087957,0.03875968992248058,24.169943544009396,1.0
湖北,Direct Polar,annulus,CEG2000_f4_r0027_c0088,True,2,3,1,0.6666666666666666,1.0,0.8,0.6666666666666666,0.6381952081483209,0.007751937984496027,10.051691036364788,1.0
湖北,Direct Polar,annulus,CEG2000_f4_r0027_c0089,True,2,4,2,0.5,1.0,0.6666666666666666,0.5,1.1673786506203643,0.06201550387596899,19.924851106039856,1.0
湖北,Direct Polar,annulus,CEG2000_f4_r0027_c0100,True,2,3,1,0.6666666666666666,1.0,0.8,0.6666666666666666,1.250479173042807,0.046511627906976716,13.22966340393537,1.0
湖北,Direct Polar,annulus,CEG2000_f4_r0027_c0101,True,3,4,1,0.75,1.0,0.8571428571428571,0.75,0.4938253032008452,0.054263565891472854,12.145155487284427,0.6666666666666666
湖北,Direct Polar,annulus,CEG2000_f4_r0027_c0102,True,2,3,1,0.6666666666666666,1.0,0.8,0.6666666666666666,2.2918727190641675,0.007751937984496138,19.94526202495006,1.0
湖北,Direct Polar,annulus,CEG2000_f4_r0028_c0087,True,2,3,1,0.6666666666666666,1.0,0.8,0.6666666666666666,0.8567202165822168,0.046511627906976716,15.303911783007383,1.0
湖北,Direct Polar,annulus,CEG2000_f4_r0028_c0088,False,4,5,1,0.8,1.0,0.888888888888889,0.8,0.18144500511235004,0.015503875968992165,13.2536580845026,1.0
湖北,Direct Polar,annulus,CEG2000_f4_r0028_c0089,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.18874285532898954,0.015503875968992276,21.1251526462178,1.0
湖北,Direct Polar,annulus,CEG2000_f4_r0028_c0090,True,3,5,2,0.6,1.0,0.7499999999999999,0.6,0.5781507293161268,0.054263565891472965,35.959309768448286,1.0
湖北,Direct Polar,annulus,CEG2000_f4_r0028_c0091,True,3,6,3,0.5,1.0,0.6666666666666666,0.5,2.068912460747132,0.16279069767441862,54.67772159626543,1.0
湖北,Direct Polar,annulus,CEG2000_f4_r0028_c0092,True,2,4,2,0.5,1.0,0.6666666666666666,0.5,4.282591815737016,0.03875968992248058,43.02570086588004,1.0
湖北,Direct Polar,annulus,CEG2000_f4_r0028_c0096,True,2,3,1,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3678367761811222,0.007751937984496138,21.48419029314327,1.0
湖北,Direct Polar,annulus,CEG2000_f4_r0028_c0097,True,3,3,0,1.0,1.0,1.0,1.0,0.00525819625260461,0.03875968992248069,9.108180241764591,0.6666666666666666
湖北,Direct Polar,annulus,CEG2000_f4_r0028_c0098,True,3,3,0,1.0,1.0,1.0,1.0,1.297538486440082,0.0852713178294574,6.725108518731754,1.0
湖北,Direct Polar,annulus,CEG2000_f4_r0028_c0099,True,3,5,2,0.6,1.0,0.7499999999999999,0.6,0.29481039815941085,0.2790697674418605,21.360306025212992,0.6666666666666666
湖北,Direct Polar,annulus,CEG2000_f4_r0028_c0100,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.24348498008688998,0.007751937984496138,27.756835867014544,0.8333333333333334
湖北,Direct Polar,annulus,CEG2000_f4_r0028_c0101,False,4,6,2,0.6666666666666666,1.0,0.8,0.6666666666666666,0.017133507979299353,0.046511627906976716,20.33228062258642,1.0
