dataset,method,view,neighbor_model,cell_count,adj_precision,adj_recall,adj_f1,original_edge_count,display_edge_count,preserved_edge_count,lost_edge_count,new_edge_count,np2
福建,Harmonic,disk,8-neighbor,74,0.9627659574468085,0.7510373443983402,0.8438228438228438,241,188,181,60,7,0.7796243489672954
福建,Harmonic,annulus,4-neighbor,74,0.615819209039548,0.872,0.7218543046357616,125,177,109,16,68,0.626546128635912
福建,Harmonic,annulus,8-neighbor,74,0.9378531073446328,0.6887966804979253,0.7942583732057417,241,177,166,75,11,0.7123500745411501
福建,Area-balanced,disk,4-neighbor,74,0.6335078534031413,0.968,0.7658227848101266,125,191,121,4,70,0.6319253104276324
福建,Area-balanced,disk,8-neighbor,74,0.9581151832460733,0.7593360995850622,0.8472222222222222,241,191,183,58,8,0.7832323892543974
福建,Area-balanced,annulus,4-neighbor,74,0.5625,0.792,0.6578073089700996,125,176,99,26,77,0.5901363042423414
福建,Area-balanced,annulus,8-neighbor,74,0.875,0.6390041493775933,0.7386091127098322,241,176,154,87,22,0.6272754854833533
福建,Regular Topology,disk,4-neighbor,74,0.48372093023255813,0.832,0.6117647058823529,125,215,104,21,111,0.46804228788328267
福建,Regular Topology,disk,8-neighbor,74,0.7767441860465116,0.6929460580912863,0.7324561403508771,241,215,167,74,48,0.655657440779864
福建,Regular Topology,annulus,4-neighbor,74,0.526595744680851,0.792,0.6325878594249202,125,188,99,26,89,0.5016924128673692
福建,Regular Topology,annulus,8-neighbor,74,0.7978723404255319,0.6224066390041494,0.6993006993006994,241,188,150,91,38,0.6047843074443222
福建,GeoDisk,disk,4-neighbor,74,0.5968586387434555,0.912,0.7215189873417721,125,191,114,11,77,0.5967289643261198
福建,GeoDisk,disk,8-neighbor,74,0.9109947643979057,0.7219917012448133,0.8055555555555556,241,191,174,67,17,0.7492759806121132
福建,GeoAnnulus,annulus,4-neighbor,74,0.5689655172413793,0.792,0.6622073578595318,125,174,99,26,75,0.6128595258626218
福建,GeoAnnulus,annulus,8-neighbor,74,0.8563218390804598,0.6182572614107884,0.7180722891566266,241,174,149,92,25,0.6193668445272597
福建,GeoDisk-Final,disk,4-neighbor,74,0.6578947368421053,1.0,0.7936507936507937,125,190,125,0,65,0.6628024091259387
福建,GeoDisk-Final,disk,8-neighbor,74,0.9842105263157894,0.7759336099585062,0.8677494199535962,241,190,187,54,3,0.7973573350138163
福建,GeoAnnulus-Final,annulus,4-neighbor,74,0.6647398843930635,0.92,0.7718120805369127,125,173,115,10,58,0.6841557268027857
福建,GeoAnnulus-Final,annulus,8-neighbor,74,0.9884393063583815,0.7095435684647303,0.8260869565217391,241,173,171,70,2,0.7162839298936015
广西,Direct Polar,disk,4-neighbor,142,0.775,1.0,0.8732394366197184,248,320,248,0,72,0.7765893787252202
广西,Direct Polar,disk,8-neighbor,142,0.978125,0.6466942148760331,0.7786069651741294,484,320,313,171,7,0.6769855346312331
广西,Direct Polar,annulus,4-neighbor,142,0.6938202247191011,0.9959677419354839,0.8178807947019868,248,356,247,1,109,0.7082875980011113
广西,Direct Polar,annulus,8-neighbor,142,0.9747191011235955,0.7169421487603306,0.8261904761904763,484,356,347,137,9,0.7219776994568612
广西,Harmonic,disk,4-neighbor,142,0.6370967741935484,0.9556451612903226,0.7645161290322581,248,372,237,11,135,0.6393408410716984
广西,Harmonic,disk,8-neighbor,142,0.9543010752688172,0.7334710743801653,0.8294392523364486,484,372,355,129,17,0.7420223332746176
广西,Harmonic,annulus,4-neighbor,142,0.6096866096866097,0.8629032258064516,0.7145242070116861,248,351,214,34,137,0.6020327614450451
广西,Harmonic,annulus,8-neighbor,142,0.9116809116809117,0.6611570247933884,0.7664670658682634,484,351,320,164,31,0.6610230559841233
广西,Area-balanced,disk,4-neighbor,142,0.59375,0.9193548387096774,0.7215189873417721,248,384,228,20,156,0.5915697875985784
广西,Area-balanced,disk,8-neighbor,142,0.90625,0.71900826446281,0.8018433179723502,484,384,348,136,36,0.7287167435628409
广西,Area-balanced,annulus,4-neighbor,142,0.5482093663911846,0.8024193548387096,0.6513911620294599,248,363,199,49,164,0.5663697309330785
广西,Area-balanced,annulus,8-neighbor,142,0.8457300275482094,0.6342975206611571,0.7249114521841795,484,363,307,177,56,0.6282685046970864
广西,Regular Topology,disk,4-neighbor,142,0.4121338912133891,0.7943548387096774,0.5426997245179064,248,478,197,51,281,0.4235666641855429
广西,Regular Topology,disk,8-neighbor,142,0.6485355648535565,0.640495867768595,0.6444906444906444,484,478,310,174,168,0.583217929480851
广西,Regular Topology,annulus,4-neighbor,142,0.489010989010989,0.717741935483871,0.5816993464052287,248,364,178,70,186,0.4576170203182659
广西,Regular Topology,annulus,8-neighbor,142,0.728021978021978,0.5475206611570248,0.625,484,364,265,219,99,0.5387716830316875
