dataset,transition,bin_count,encoding_mode,cell_count,cell_identity_accuracy,geometry_centroid_drift,temporal_adjacency_jaccard,delta_sign_accuracy,delta_mae,normalized_delta_mae,delta_bias,magnitude_spearman,top10_change_jaccard,high_change_event_f1
湖南,M07-M08,5,direct_diverging_delta,137,1.0,0.0,1.0,0.40145985401459855,1.4462212774442609,0.09636372528666345,0.49270721516462346,0.5234051384946993,1.0,0.5714285714285715
湖南,M08-M09,5,derived_from_value_bins,137,1.0,0.0,1.0,0.8540145985401459,2.3868600279494405,0.15903978707705224,-0.3031550793468884,0.2286715944658763,0.12,0.23809523809523808
湖南,M08-M09,5,direct_diverging_delta,137,1.0,0.0,1.0,1.0,1.711178459280219,0.11401818901318876,0.031452618165085246,0.8439631990244133,0.21739130434782608,0.8536585365853657
湖南,M09-M10,5,derived_from_value_bins,137,1.0,0.0,1.0,0.6277372262773723,2.8006643249894445,0.18661214009406188,0.008751942655769313,0.48188650840701525,0.07692307692307693,0.5785123966942148
湖南,M09-M10,5,direct_diverging_delta,137,1.0,0.0,1.0,0.7445255474452555,1.478898558901418,0.09854105777551825,0.00580251041065385,0.8989854332065418,0.4,0.7931034482758621
湖南,M10-M11,5,derived_from_value_bins,137,1.0,0.0,1.0,0.6277372262773723,2.9123441636299527,0.19405352230759915,-0.6727206734705673,0.8579957756516315,0.47368421052631576,0.7142857142857142
湖南,M10-M11,5,direct_diverging_delta,137,1.0,0.0,1.0,0.9781021897810219,2.295999973749997,0.1529856559154092,-0.853400514644205,0.8976723311380189,0.21739130434782608,1.0
湖南,M11-M12,5,derived_from_value_bins,137,1.0,0.0,1.0,0.8978102189781022,4.145249006129257,0.27620367830388926,-2.015761784739871,0.4087235729793632,0.12,0.4615384615384615
湖南,M11-M12,5,direct_diverging_delta,137,1.0,0.0,1.0,1.0,2.715475056906887,0.1809358612597561,-2.229857741902012,0.48966296671472614,0.037037037037037035,0.0
湖南,M01-M02,7,derived_from_value_bins,137,1.0,0.0,1.0,0.7153284671532847,1.9180047950969517,0.12779931401634995,0.1434871235251514,0.6561684765722862,0.21739130434782608,0.3636363636363636
湖南,M01-M02,7,direct_diverging_delta,137,1.0,0.0,1.0,0.7883211678832117,1.1260607423515614,0.07503098573118894,0.26033651627365717,0.9119587442880512,0.21739130434782608,0.9722222222222222
湖南,M02-M03,7,derived_from_value_bins,137,1.0,0.0,1.0,0.8102189781021898,2.1654157794761253,0.14428465032238874,-0.4252145392329256,0.7228737452764726,0.16666666666666666,0.7222222222222223
湖南,M02-M03,7,direct_diverging_delta,137,1.0,0.0,1.0,0.8102189781021898,0.9193986425339601,0.06126080399995252,0.04288912852997966,0.956131423077129,0.47368421052631576,0.888888888888889
湖南,M03-M04,7,derived_from_value_bins,137,1.0,0.0,1.0,0.9562043795620438,1.7201604001373645,0.1146166681635084,0.08327325741681559,0.7474532365883615,0.0,0.6730769230769231
湖南,M03-M04,7,direct_diverging_delta,137,1.0,0.0,1.0,1.0,1.0591985835358306,0.07057586755205492,0.20177955376855194,0.9419041036589023,0.16666666666666666,0.8750000000000001
湖南,M04-M05,7,derived_from_value_bins,137,1.0,0.0,1.0,0.3722627737226277,1.990414531573969,0.13262407497290415,0.18259626883601127,0.5545380288405238,0.07692307692307693,0.5813953488372093
湖南,M04-M05,7,direct_diverging_delta,137,1.0,0.0,1.0,0.35766423357664234,1.030592268645656,0.06866978919977675,0.1259651308262333,0.8326128269207557,0.3333333333333333,0.8333333333333333
